Type	Section	Division	Group	Class	Code	Class type	V4.3 Equivalent	Code(4.3)	Subterranean-Any	Subterranean-Terrestrial	Actor_Subterranean-Terrestrial	Subterranean-Freshwater	Actor_Subterranean-Freshwater	Subterranean-Marine	Actor_Subterranean-Marine	Stakeholders	References	Assessed_quantitatively	Assessed_qualitatively	Notes
Biotic	Provisioning	Biomass	Cultivated terrestrial plants for nutrition, materials or energy 	Cultivated terrestrial plants (including fungi, algae) grown for nutritional purposes	1.1.1.1	Crops by amount, type (e.g. cereals, root crops, soft fruit, etc.)	Cultivated crops	1.1.1.1	1	1	Cultivated fungi	1	GW-dependend rice fields, Spirulina production	0	NA	Farmers		0	1	https://www.showcaves.com/english/explain/Biology/Fungi.html
Biotic	Provisioning	Biomass	Cultivated terrestrial plants for nutrition, materials or energy 	Fibres and other materials from cultivated plants, fungi, algae and bacteria for direct use or processing (excluding genetic materials)	1.1.1.2	Material by amount, type, use, media (land, soil, freshwater, marine)	Fibres and other materials from plants, algae and animals for direct use or processing	1.2.1.1	0	0	NA	0	NA	0	NA	NA				-
Biotic	Provisioning	Biomass	Cultivated terrestrial plants for nutrition, materials or energy 	Cultivated plants (including fungi, algae) grown as a source of energy 	1.1.1.3	By amount, type, source	Plant-based resources	1.3.1.1	1	0	NA	0	NA	1	bacteria and archaea potentially useful in the fields of bioenergy (e.g. methane production)	Industry ; Biotechnology	Polymenakou PN, Mandalakis M, Dailianis T, Dimitriadis C, Medvecky M, Magoulas A, Gerovasileiou V (2018) Preliminary assessment of methanogenic microbial communities in marine caves of Zakynthos Island (Ionian Sea, Greece). Mediterranean Marine Science, 19: 284-289.	0	1	-
Biotic	Provisioning	Biomass	Cultivated aquatic plants for nutrition, materials or energy 	Plants cultivated by in- situ aquaculture grown for nutritional purposes 	1.1.2.1	Plants, algae by amount, type	Plants and algae from in-situ aquaculture	1.1.1.5	0	0	NA	0	NA	0	NA	NA				-
Biotic	Provisioning	Biomass	Cultivated aquatic plants for nutrition, materials or energy 	Fibres and other materials from in-situ aquaculture for direct use or processing (excluding genetic materials)	1.1.2.2	Plants, algae by amount, type	Plants and algae from in-situ aquaculture	1.1.1.5	0	0	NA	0	NA	0	NA	NA				-
Biotic	Provisioning	Biomass	Cultivated aquatic plants for nutrition, materials or energy 	Plants cultivated by in- situ aquaculture grown as an energy source	1.1.2.3	Plants, algae by amount, type	Plants and algae from in-situ aquaculture	1.1.1.5	0	0	NA	0	NA	0	NA	NA				-
Biotic	Provisioning	Biomass	Reared animals for nutrition, materials or energy  	Animals reared for nutritional purposes	1.1.3.1	Animals, products by amount, type (e.g. beef, dairy)	Reared animals and their outputs	1.1.1.2	1	1	Caves/caverns used by traditional sheperds as shelters for cattle	0	NA	0	NA	Shepherds				-
Biotic	Provisioning	Biomass	Reared animals for nutrition, materials or energy  	Fibres and other materials from reared animals for direct use or processing (excluding genetic materials)	1.1.3.2	Material by amount, type, use, media (land, soil, freshwater, marine)	Materials from plants, algae and animals for agricultural use	1.2.1.2	1	1	Cheese production	0	NA	0	NA	Shepherds	Ozturkoglu-Budak, S., Gursoy, A., Aykas, D. P., Koçak, C., Dönmez, S., De Vries, R. P., & Bron, P. A. (2016). Volatile compound profiling of Turkish Divle Cave cheese during production and ripening. Journal of Dairy Science, 99(7), 5120-5131.		1	-
Biotic	Provisioning	Biomass	Reared animals for nutrition, materials or energy  	Animals reared to provide energy (including mechanical)	1.1.3.3	By amount, type, source	Animal-based resources & Animal-based mechanical energy	1.3.1.2 & 1.3.2.1	0	0	NA	0	NA	0	NA	NA				-
Biotic	Provisioning	Biomass	Reared aquatic animals for nutrition, materials or energy  	Animals reared by in-situ aquaculture for nutritional purposes	1.1.4.1	Animals by amount, type	Animals from in-situ aquaculture 	1.1.1.6	1	0	NA	0	NA	1	Fishponds in hawaii (closed bays with fsw influenced closed by the hawaian people and used to reared fish. They are epigean but with a strong influence of groundwater)	Fishers				-
Biotic	Provisioning	Biomass	Reared aquatic animals for nutrition, materials or energy  	Fibres and other materials from animals grown by in-situ aquaculture for direct use or processing (excluding genetic materials)	1.1.4.2	Animals by amount, type	Animals from in-situ aquaculture 	1.1.1.6	1	0	NA	0	NA	1	Marine caves might be used for sponge culture, due to the limited sediment deposition and illumination	Industry ; Biotechnology	Verdenal B, Vacelet J (1985) Sponge culture on vertical ropes in the Northwestern Mediterranean Sea. In: Rützler K, editor. Washington DC: Smithsonian Institution Press, 416–424.	0	1	-
Biotic	Provisioning	Biomass	Reared aquatic animals for nutrition, materials or energy  	Animals reared by in-situ aquaculture as an energy source	1.1.4.3	Animals by amount, type	Animals from in-situ aquaculture 	1.1.1.6	0	0	NA	0	NA	0	NA	NA				-
Biotic	Provisioning	Biomass	Wild plants (terrestrial and aquatic) for nutrition, materials or energy  	Wild plants (terrestrial and aquatic, including fungi, algae) used for nutrition	1.1.5.1	Plants, algae by amount, type	Wild plants, algae and their outputs	1.1.1.3	1	1	Fungi	1	Algae and plants growing in springs	0	NA	Local gatherers				-
Biotic	Provisioning	Biomass	Wild plants (terrestrial and aquatic) for nutrition, materials or energy  	Fibres and other materials from wild plants for direct use or processing (excluding genetic materials)	1.1.5.2	Plants, algae by amount, type	Wild plants, algae and their outputs	1.1.1.3	1	0	NA	1	Groundwater-dependent papyrus wetlands	0	NA	Local gatherers				-
Biotic	Provisioning	Biomass	Wild plants (terrestrial and aquatic) for nutrition, materials or energy  	Wild plants (terrestrial and aquatic, including fungi, algae) used as a source of energy	1.1.5.3	Material by type/source	Not recognised in V4.3	N/A	0	0	NA	0	NA	0	NA	NA				-
Biotic	Provisioning	Biomass	Wild animals (terrestrial and aquatic) for nutrition, materials or energy  	Wild animals (terrestrial and aquatic) used for nutritional purposes	1.1.6.1	Animals by amount, type	Wild animals and their outputs	1.1.1.4	1	1	Cave swiftlet nest ; Bats hunting	1	Chinese giant salamander (Andrias davidianus) in Chinese traditional cusine	1	Halocaridina rubra for traditional fisheries in Hawai'i; Several fishes and crustaceans (e.g. Palinurus elephas, Scyllarides latus) that shelter in marine caves or use them occasionally as nursery habitats are of commercial interest; Spearfishing (e.g. of Sciaena umbra and Phycis phycis)	Hunters ; Fishers ; Local gatherers	Tanalgo, K. C., Sritongchuay, T., Agduma, A. R., Cruz, K. C. D., & Hughes, A. C. (2023). Are we hunting bats to extinction? Worldwide patterns of hunting risk in bats are driven by species ecology and regional economics. Biological Conservation, 279, 109944. ; Gerovasileiou V, Chintiroglou C, Vafidis D, Koutsoubas D, Sini M, Dailianis T, Issaris Y, Akritopoulou E, Dimarchopoulou D, Voultsiadou E (2015) Census of biodiversity in marine caves of the Eastern Mediterranean Sea. Mediterranean Marine Science, 16: 245-265. ; Gerovasileiou V, Bianchi CN (2021) Mediterranean marine caves: a synthesis of current knowledge. Oceanography and Marine Biology : An Annual Review, 59: 1-88.	0	1	-
Biotic	Provisioning	Biomass	Wild animals (terrestrial and aquatic) for nutrition, materials or energy  	Fibres and other materials from wild animals for direct use or processing (excluding genetic materials)	1.1.6.2	Material by type/source	Not recognised in V4.3	N/A	1	1	Guano mining	0	NA	1	Red corals from Mediterraean caves; The four Mediterranean bath sponges have been reported from numerous marine caves. ; Many sessile invertebrates in marine caves are potential sources of bioactive substances used in biotechnology.	Industry ; Biotechnology ; Local gatherers	Gerovasileiou V, Bianchi CN (2021) Mediterranean marine caves: a synthesis of current knowledge. Oceanography and Marine Biology : An Annual Review, 59: 1-88. ; Gerovasileiou V, Voultsiadou Ε (2012) Marine caves of the Mediterranean Sea: a sponge biodiversity reservoir within a biodiversity hotspot. PLoS ONE, 7(7): e39873. ; Turon, Χ., Martí, R. & Uriz, M.J. 2009. Chemical bioactivity of sponges along an environmental gradient in a Mediterranean cave. Scientia Marina 73, 387–397. ; Uriz, M.J., Martin, D., Turon, X., Ballesteros, E., Hughes, R. & Acebal, C. 1991. An approach to the ecological significance of chemically mediated bioactivity in Mediterranean benthic communities. Marine Ecology Progress Series 70, 175–188. 	0	1	-
Biotic	Provisioning	Biomass	Wild animals (terrestrial and aquatic) for nutrition, materials or energy  	Wild animals (terrestrial and aquatic) used as a source of energy	1.1.6.3	By amount, type, source	Not recognised in V4.3	N/A	0	0	NA	0	NA	0	NA	NA				-
Biotic	Provisioning	Genetic material from all biota (including seed, spore or gamete production)	Genetic material from plants, algae or fungi	Seeds, spores and other plant materials collected for maintaining or establishing a population	1.2.1.1	By species or varieties	Not recognised in V4.3	N/A	0	0	NA	0	NA	0	NA	NA				-
Biotic	Provisioning	Genetic material from all biota (including seed, spore or gamete production)	Genetic material from plants, algae or fungi	Higher and lower plants (whole organisms) used to breed new strains or varieties	1.2.1.2	By species or varieties	Genetic materials from all biota	1.2.1.3	0	0	NA	0	NA	0	NA	NA				-
Biotic	Provisioning	Genetic material from all biota (including seed, spore or gamete production)	Genetic material from plants, algae or fungi	Individual genes extracted from higher and lower plants for the design and construction of new biological entities	1.2.1.3	Material by type	Genetic materials from all biota	1.2.1.3	1	1	Fungi, bacteria, archaea	1	Fungi, bacteria, archaea	1	Fungi, bacteria, archaea	Scientists ; Industry ; Biotechnology	Sadoway, T., Rule, D., Watson, K., Moote, P., Soliman, L. C., Azad, N., ... & Horne, D. (2013). Cure from the cave: volcanic cave actinomycetes and their potential in drug discovery. International Journal of Speleology, 42(1), 35–47.	0	1	-
Biotic	Provisioning	Genetic material from all biota (including seed, spore or gamete production)	Genetic material from animals	Animal material collected for the purposes of maintaining or establishing a population	1.2.2.1	By species or varieties	Not recognised in V4.3	N/A	1	1	Ex-situ conservation of terrestrial species	1	Ex-situ conservation of Proteus	1	Ex-situ conservation of Halocaridina rubra	Conservation biologists	Aljancic, G., Aljancic, M. & Golob, Z. (2016). Salvaging the washed-out Proteus. Natura Sloveniae 18, 65–66.	0	1	-
Biotic	Provisioning	Genetic material from all biota (including seed, spore or gamete production)	Genetic material from animals	Wild animals (whole organisms) used to breed new strains or varieties	1.2.2.2	By species or varieties	Genetic materials from all biota	1.2.1.3	1	0	NA	1	Cavefish	0	NA	Scientists				-
Biotic	Provisioning	Genetic material from all biota (including seed, spore or gamete production)	Genetic material from organisms	Individual genes extracted from organisms for the design and construction of new biological entities	1.2.2.3	Material by type	Genetic materials from all biota	1.2.1.3	0	0	NA	0	NA	0	NA	NA				-
Biotic	Provisioning	Other types of provisioning service from biotic sources	Other	Other	1.3.X.X	Use nested codes to allocate other provisioning services from living systems to appropriate Groups and Classes	Not recognised in V4.3	N/A	-	-	-	-	-	-	-	-	-	-	-	-
Biotic	Provisioning	Water 	Surface water used for nutrition, materials or energy 	Surface water for drinking	4.2.1.1	By amount, type, source	Surface water for drinking	1.1.2.1	0	0	NA	0	NA	0	NA	NA	NA	NA	NA	-
Biotic	Provisioning	Water 	Surface water used for nutrition, materials or energy 	Surface water used as a material (non-drinking purposes)	4.2.1.2	By amount & source	Surface water for non-drinking purposes	1.2.2.1	0	0	NA	0	NA	0	NA	NA	NA	NA	NA	-
Biotic	Provisioning	Water 	Surface water used for nutrition, materials or energy 	Freshwater surface water used as an energy source	4.2.1.3	By amount, type, source	Not recognised in V4.3	N/A	0	0	NA	0	NA	0	NA	NA	NA	NA	NA	-
Biotic	Provisioning	Water 	Surface water used for nutrition, materials or energy 	Coastal and marine water used as energy source	4.2.1.4	By amount, type, source	Not recognised in V4.3	N/A	1	0	NA	0	NA	1	Costal aquifers / marine caves	Any (society at large)				-
Biotic	Provisioning	Water 	Ground water for used for nutrition, materials or energy 	Ground (and subsurface) water for drinking	4.2.2.1	By amount, type, source	Ground water for drinking	1.1.2.2	1	0	NA	1	aquifers	0	NA	Any (society at large)				-
Biotic	Provisioning	Water 	Ground water for used for nutrition, materials or energy 	Ground water (and subsurface) used as a material (non-drinking purposes)	4.2.2.2	By amount & source	Ground water as source of energy	1.2.2.2	1	0	NA	1	aquifers	1	Costal aquifers / marine caves	Any (society at large)				-
Biotic	Provisioning	Water 	Ground water for used for nutrition, materials or energy 	Ground water (and subsurface) used as an energy source	4.2.2.3	By amount & source	Ground water for non-drinking purposes	N/A	1	0	NA	1	aquifers	1	Costal aquifers / marine caves	Any (society at large)				-
Biotic	Provisioning	Water 	Other aqueous ecosystem outputs	Other	4.2.X.X	Use nested codes to allocate other provisioning services from non-living systems to appropriate Groups and Classes	Not recognised in V4.3	N/A	-	-	-	-	-	-	-	-	-	-	-	-
Biotic	Regulation & Maintenance	Transformation of biochemical or physical inputs to ecosystems	Mediation of wastes or toxic substances of anthropogenic origin by living processes	Bio-remediation by micro-organisms, algae, plants, and animals	2.1.1.1	By type of living system or by waste or subsistence type	Bio-remediation by micro-organisms, algae, plants, and animals	2.1.1.1	1	1	bacteria	1	bacteria	1	Bacteria and archaea potentially useful in the field of bioremediation 	Any (society at large)	Griebler, C., & Avramov, M. (2015). Groundwater ecosystem services: a review. Freshwater Science, 34(1), 355-367. ; Polymenakou PN, Mandalakis M, Dailianis T, Dimitriadis C, Medvecky M, Magoulas A, Gerovasileiou V (2018) Preliminary assessment of methanogenic microbial communities in marine caves of Zakynthos Island (Ionian Sea, Greece). Mediterranean Marine Science, 19: 284-289.	0	1	-
Biotic	Regulation & Maintenance	Transformation of biochemical or physical inputs to ecosystems	Mediation of wastes or toxic substances of anthropogenic origin by living processes	Filtration/sequestration/storage/accumulation by micro-organisms, algae, plants, and animals	2.1.1.2	By type of living system, or by water or substance type	"Filtration/sequestration/storage/accumulation by micro-organisms, algae, plants, and animals
And
Filtration/sequestration/storage/accumulation by ecosystems"	2.1.1.2 & 2.1.2.1	1	1	bacteria	1	bacteria	1	Bacteria ; Marine cave assemblages are dominated by active suspension feeders (e.g. sponges) that transfer pelagic phytoplanktonic primary production to secondary production, and together with other rocky shore habitats contributes for the nutrient cycling and water quality regulation in coastal environments. 	Any (society at large)	Griebler, C., & Avramov, M. (2015). Groundwater ecosystem services: a review. Freshwater Science, 34(1), 355-367. ; Salomidi, M., Katsanevakis, S., Borja, A., Braeckman, U., Damalas, D., Galparsoro, I., Mifsud, R., Mirto, S., Pascual, M., Pipitone, C., Rabaut, M., Todorova, V., Vassilopoulou, V. & Vega Fernandez, T. 2012. Assessment of goods and services, vulnerability, and conservation status of European seabed biotopes: A stepping stone towards ecosystem-based marine spatial management. Mediterranean Marine Science 13, 49–88.	0	1	-
Biotic	Regulation & Maintenance	Transformation of biochemical or physical inputs to ecosystems	Mediation of nuisances of anthropogenic origin	Smell reduction	2.1.2.1	By type of living system	Mediation of smell/noise/visual impacts	2.1.2.3	0	0	NA	0	NA	0	NA	NA				-
Biotic	Regulation & Maintenance	Transformation of biochemical or physical inputs to ecosystems	Mediation of nuisances of anthropogenic origin	Noise attenuation	2.1.2.2	By type of living system	Mediation of smell/noise/visual impacts	2.1.2.3	0	0	NA	0	NA	0	NA	NA				-
Biotic	Regulation & Maintenance	Transformation of biochemical or physical inputs to ecosystems	Mediation of nuisances of anthropogenic origin	Visual screening                  	2.1.2.3	By type of living system	Mediation of smell/noise/visual impacts	2.1.2.3	0	0	NA	0	NA	0	NA	NA				-
Biotic	Regulation & Maintenance	Regulation of physical, chemical, biological conditions	Regulation of baseline flows and extreme events	Control of erosion rates	2.2.1.1	By reduction in risk, area protected	Stabilisation and control of erosion rates	2.2.1.1	1	1	Plant roots in caves	1	Groundwater-fed vegetation	1	Groundwater-fed vegetation	Any (society at large)	Glanville, K., Sheldon, F., Butler, D., & Capon, S. (2023). Effects and significance of groundwater for vegetation: A systematic review. Science of the Total Environment, 875, 162577. ; Feng, L., Peng, L., Cui, Q., Yang, H. J., Ma, J. Z., & Liu, J. T. (2022). Rising Shallow Groundwater Level May Facilitate Seed Persistence in the Supratidal Wetlands of the Yellow River Delta. Frontiers in Plant Science, 13, 946129.	0	1	-
Biotic	Regulation & Maintenance	Regulation of physical, chemical, biological conditions	Regulation of baseline flows and extreme events	Buffering and attenuation of mass movement	2.2.1.2	By reduction in risk, area protected	Buffering and attenuation of mass flows	2.2.1.2	1	0	NA	1	Groundwater-fed vegetation	1	Groundwater-fed vegetation	Any (society at large)	Glanville, K., Sheldon, F., Butler, D., & Capon, S. (2023). Effects and significance of groundwater for vegetation: A systematic review. Science of the Total Environment, 875, 162577. ; Feng, L., Peng, L., Cui, Q., Yang, H. J., Ma, J. Z., & Liu, J. T. (2022). Rising Shallow Groundwater Level May Facilitate Seed Persistence in the Supratidal Wetlands of the Yellow River Delta. Frontiers in Plant Science, 13, 946129.	0	1	-
Biotic	Regulation & Maintenance	Regulation of physical, chemical, biological conditions	Regulation of baseline flows and extreme events	Hydrological cycle and water flow regulation (Including flood control, and coastal protection)	2.2.1.3	By depth/volumes	"Hydrological cycle and water flow maintenance
And
Flood protection"	2.2.2.1 & 2.2.2.2	1	0	NA	1	Groundwater-fed vegetation	1	Groundwater-fed vegetation	Any (society at large)	Glanville, K., Sheldon, F., Butler, D., & Capon, S. (2023). Effects and significance of groundwater for vegetation: A systematic review. Science of the Total Environment, 875, 162577. ; Feng, L., Peng, L., Cui, Q., Yang, H. J., Ma, J. Z., & Liu, J. T. (2022). Rising Shallow Groundwater Level May Facilitate Seed Persistence in the Supratidal Wetlands of the Yellow River Delta. Frontiers in Plant Science, 13, 946129.	0	1	-
Biotic	Regulation & Maintenance	Regulation of physical, chemical, biological conditions	Regulation of baseline flows and extreme events	Wind protection	2.2.1.4	By reduction in risk, area protected	Storm protection	2.2.3.1	1	0	NA	1	Groundwater-fed vegetation	1	Groundwater-fed vegetation	Any (society at large)	Glanville, K., Sheldon, F., Butler, D., & Capon, S. (2023). Effects and significance of groundwater for vegetation: A systematic review. Science of the Total Environment, 875, 162577. ; Feng, L., Peng, L., Cui, Q., Yang, H. J., Ma, J. Z., & Liu, J. T. (2022). Rising Shallow Groundwater Level May Facilitate Seed Persistence in the Supratidal Wetlands of the Yellow River Delta. Frontiers in Plant Science, 13, 946129.	0	1	-
Biotic	Regulation & Maintenance	Regulation of physical, chemical, biological conditions	Regulation of baseline flows and extreme events	Fire protection	2.2.1.5	By reduction in risk, area protected	Not recognised in V4.3	N/A	0	0	NA	0	NA	0	NA	NA				-
Biotic	Regulation & Maintenance	Regulation of physical, chemical, biological conditions	Lifecycle maintenance, habitat and gene pool protection	Pollination (or 'gamete' dispersal in a marine context)	2.2.2.1	By amount and pollinator	Pollination and seed dispersal	2.3.1.1	1	1	Subterranean-roosting bats	0	Seed persistence and dispersal through shallow groundwaters	1	Stepping stones for the dispersal of cryptobiotic/crevicular and deep-water species	Industry ; Farmers ; Conservation biologists ; Scientists 	Trejo-Salazar RE, Eguiarte LE, Suro-Piñera D, Medellin RA. 2016. Save our bats, save our tequila: Industry and science join forces to help bats and agaves. Natural Areas Journal 36: 523–531. ; Gerovasileiou V, Bianchi CN (2021) Mediterranean marine caves: a synthesis of current knowledge. Oceanography and Marine Biology : An Annual Review, 59: 1-88.	1	1	-
Biotic	Regulation & Maintenance	Regulation of physical, chemical, biological conditions	Lifecycle maintenance, habitat and gene pool protection	Seed dispersal	2.2.2.2	By amount and dispersal agent	Pollination and seed dispersal	2.3.1.1	1	1	Subterranean-roosting bats	1	Seed persistence and dispersal through shallow groundwaters	1	Stepping stones for the dispersal of cryptobiotic/crevicular and deep-water species	Industry ; Farmers ; Conservation biologists ; Scientists 	Gerovasileiou V, Bianchi CN (2021) Mediterranean marine caves: a synthesis of current knowledge. Oceanography and Marine Biology : An Annual Review, 59: 1-88.	0	1	-
Biotic	Regulation & Maintenance	Regulation of physical, chemical, biological conditions	Lifecycle maintenance, habitat and gene pool protection	Maintaining nursery populations and habitats (Including gene pool protection)	2.2.2.3	By amount and source	Maintaining nursery populations and habitats	2.3.1.2	1	1	Species conducting part of the life cycle (so-called troglophiles) or seeking shelter in terrestrial subterranean ecosystems	1	Species conducting part of the life cycle (so-called stygophiles) or seeking shelter in aquatic subterranean ecosystems	1	Species conducting part of the life cycle (so-called stygophiles) or seeking shelter in aquatic subterranean ecosystems ; Marine caves are acknowledged as “biodiversity reservoirs” and “refuge habitats” of great conservation value, as they harbour a rich biodiversity (32–71% of the Mediterranean Porifera, Anthozoa, Bryozoa, Tardigrada and Brachiopoda species)	Any (society at large) ; Conservation biologists ; Scientists 	Glanville, K., Sheldon, F., Butler, D., & Capon, S. (2023). Effects and significance of groundwater for vegetation: A systematic review. Science of the Total Environment, 875, 162577. ; Feng, L., Peng, L., Cui, Q., Yang, H. J., Ma, J. Z., & Liu, J. T. (2022). Rising Shallow Groundwater Level May Facilitate Seed Persistence in the Supratidal Wetlands of the Yellow River Delta. Frontiers in Plant Science, 13, 946129. ; Gerovasileiou V, Bianchi CN (2021) Mediterranean marine caves: a synthesis of current knowledge. Oceanography and Marine Biology : An Annual Review, 59: 1-88.	1	1	-
Biotic	Regulation & Maintenance	Regulation of physical, chemical, biological conditions	Pest and disease control	Pest control (including invasive species) 	2.2.3.1	By reduction in incidence, risk, area protected by type of living system	Pest control	2.3.2.1	1	1	Subterranean-roosting bats	0	NA	0	NA	Farmers	Boyles, J. G., Cryan, P. M., McCracken, G. F., & Kunz, T. H. (2011). Economic importance of bats in agriculture. Science, 332(6025), 41-42.	1	1	-
Biotic	Regulation & Maintenance	Regulation of physical, chemical, biological conditions	Pest and disease control	Disease control                    	2.2.3.2	By reduction in incidence, risk, area protected by type of living system	Disease control	2.3.2.2	1	1	Subterranean-roosting bats	0	NA	0	NA	Any (society at large)				-
Biotic	Regulation & Maintenance	Regulation of physical, chemical, biological conditions	Regulation of soil quality	Weathering processes and their effect on soil quality	2.2.4.1	By amount/concentration and source	Weathering processes	2.3.3.1	1	1	Animals and fungi in MSS systems	1	bioturbation by groundwater animals	1	Bioturbation by anchialine/marine animals ; bioerosion by boring animals (e.g. sponges and bivalves)	Any (society at large)	Gerovasileiou V, Bianchi CN (2021) Mediterranean marine caves: a synthesis of current knowledge. Oceanography and Marine Biology : An Annual Review, 59: 1-88.	0	1	-
Biotic	Regulation & Maintenance	Regulation of physical, chemical, biological conditions	Regulation of soil quality	Decomposition and fixing processes and their effect on soil quality          	2.2.4.2	By amount/concentration and source	Decomposition and fixing processes	2.3.3.2	1	1	Animals and fungi in MSS systems	1	bioturbation by groundwater animals	1	Bioturbation by anchialine/marine ; bacteria, fungi and protozoa in marine caves	Any (society at large)	Gerovasileiou V, Bianchi CN (2021) Mediterranean marine caves: a synthesis of current knowledge. Oceanography and Marine Biology : An Annual Review, 59: 1-88.	0	1	-
