Production of copper,mine,tonnes (metal content),...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Albania,,,5691,,5087,,3503,,2106,,218,,0,,2601,,3551,,3070,,5134,,5899
Argentina,,,135700,,109600,,102600,,61800,,81900,,33300,,17400,,0,,0,,0,,0
Armenia,,,40908,,48891,,50952,,71957,,93248,,102847,,76166,,97870,,90154,,85912,,66132
Australia,,,921390,,1000999,,978534,,995881,,947555,,849121,,910896,,925157,,868019,,795955,,818816
Azerbaijan,,,502,,327,,784,,969,,1941,,1991,,1645,,2210,,2591,,2649,,2516
Bolivia,,,8700,,7549,,10746,,9479,,8718,,7219,,5216,,4478,,2822,,3310,,3608
Botswana,,,35768,,48500,,38000,,9162,,12415,,1239,,1462,,0,,0,,11742,,34201
Brazil,,,223141,,270979,,301197,,359463,,337600,,384542,,385761,,363268,,353258,,671684,,297653
Bulgaria,,(b),118255,(b),115149,(b),108323,#,71748,,70573,,73003,,69841,,70927,,70176,,66312,*,67000
Canada,,,580082,,652595,,672729,,714647,,693059,,597194,,548011,,560781,,584608,,550418,,519691
Chile,,,5433900,,5776000,,5761100,,5772100,,5552600,,5503500,,5831600,,5787400,,5733100,,5624900,,5330500
China,,,1576800,,1715150,,1776794,,1712065,,1900188,,1706400,,1615234,,1683700,,1723100,,1818000,,1937800
Colombia,,,781,,659,,4118,,5463,,8493,,9355,,9918,,7641,,9356,,8195,,7800
"Congo, Democratic Republic",,,619942,,922016,,1030129,,1039007,,1023687,,1094638,,1225227,,1420386,,1601208,,1802897,,2394630
Cyprus,,,4328,,3631,,3088,,2121,,1754,,1293,,908,,703,,0,,0,,0
Dominican Republic,,,11737,,10379,,9262,,7324,,9725,,9618,,8588,,6047,,2193,,4774,,5360
Ecuador,,,1800,*,4700,*,3000,*,1800,,2009,,410,,5500,,6300,,49700,,89200,*,120000
Eritrea,,,0,,21800,,88900,,61600,,25300,,7900,,17300,,16008,,21725,,20224,,17098
Finland,,,25446,,38763,,42790,,41085,,47488,,53144,,46755,,32592,,35494,,32017,,27553
Georgia,,,6800,*,10000,*,6800,*,13000,*,14000,*,15000,,15704,,9547,,8031,,8147,,6364
India,,(a),29281,(a),32194,(a),24889,(a),32493,(a),30500,(a),31800,(a),34100,(a),28000,(a),25810,(a),27163,(a),26005
Indonesia,,,398100,,509300,,378500,,578600,,728000,,622030,,651136,,351000,,507000,,775000,,965600
Iran,,,245500,,222900,,216800,,257000,,282000,,295621,,310000,,310000,,315000,,316000,,344200
Kazakhstan,,,426800,,454400,,471700,,473600,,474800,,557800,,635500,,562100,,551800,,511900,,589800
"Korea, Dem. P.R. of",,*,17000,#,6700,,7700,,8600,,12600,,1800,*,2000,*,2000,*,2000,*,2000,*,2000
Kyrgyzstan,,,0,,0,,700,,3100,,8200,,7500,,7200,,7000,,5100,,6600,,7500
Laos,,,149580,,154915,,159696,,167702,,177939,,153304,,154948,,140935,,88163,,38349,,43766
Mauritania,,,37670,,37970,,33079,,45001,,32820,,28791,,28138,,29620,,28491,,18845,,13313
Mexico,,,500275,,480124,,515025,,594451,,766129,,742246,,696580,,713704,,800316,,782136,,828180
Mongolia,,,123900,,189000,,253000,,318300,,335700,,461160,,458780,,441910,,446845,,464205,,416430
Morocco,,,14750,,11575,,16579,,26900,,31800,,35400,,32400,,30700,,31800,*,36500,*,28000
Myanmar,,*,25000,*,33000,*,42000,*,71000,*,95000,*,116000,*,180000,*,219000,*,186000,*,68000,,0
Namibia,,,5304,,4896,,5249,,14010,,16653,,15534,,15177,,15743,,10853,*,3000,,2036
North Macedonia,,,10600,,11700,,9600,,11400,,10200,,9000,,8000,,7100,,5982,,6213,,7093
Oman,,,19684,,10906,,13699,,7828,,0,,,,,,,,,,,,
Pakistan,,*,23900,*,20700,*,18000,*,16000,*,14000,,10052,,12538,,13049,,13200,,18806,,16346
Panama,,,,,,,,,0,,0,,0,,0,,147480,,205548,,331000,,350438
Papua New Guinea,,,125326,,105523,,75901,,45185,,80022,,105419,,96287,,99398,,86988,,66958,,75800
Peru,,,1298761,,1375641,,1377642,,1700817,,2353859,,2445585,,2437035,,2455440,,2150126,,2326035,,2438631
Philippines,,,65444,,90861,,91824,,83835,,83649,,68156,,69933,,71892,,60856,,51586,,59500
Poland,,,427064,,428879,,421285,,426196,,424000,,419000,,401300,,449000,,442000,,443000,,443000
Portugal,,,74043,,77236,,75433,,83081,,74453,,63812,,49064,,41553,,32230,,38145,,32098
Romania,,,5902,,6800,,7200,,3600,,7300,,7400,,8722,,9200,,9100,,9100,*,11600
Russia,,,582900,,655900,,691500,,711400,,702300,,761100,,870500,,812400,,924100,,938800,,948000
Saudi Arabia,,,4410,,5095,,10848,,11563,,27500,,36279,,57300,,67300,,75400,,76350,*,75000
Serbia,,,32200,,36200,,33739,,29827,,41300,,44800,,44100,,43550,,52207,,121150,,203998
Slovakia,,,31,,40,,46,,58,,39,,32,,21,,17,,20,,76,,30
South Africa,,,88800,,80821,,78697,,77360,,65257,,65503,,46900,,52501,,29068,,28307,,49194
Spain,,,99894,,104600,,103900,,112690,,167736,,198353,,187714,,170556,,182678,,142381,,128796
Sweden,,,82422,,82904,,79345,,75125,,78992,,104450,,106142,,99332,,100065,,88108,,88337
Tajikistan,,,,,600,,100,,1788,,2493,,2953,,3210,,2330,,978,,1845,,1206
Tanzania,,,5840,,21140,,16400,*,16800,*,17400,*,13000,*,38000,*,17000,*,59000,*,115000,*,118000
Turkey,,,104300,,120500,,122000,,108000,*,1e+05,,83000,,79600,,73500,,107000,,108100,*,115000
USA,,,1166800,,1278200,,1384700,,1380000,,1430000,,1260000,,1220000,,1260000,,1200000,*,1230000,,1100000
Uzbekistan,,,95600,*,1e+05,*,1e+05,*,103000,,135000,,140100,,141200,,137300,,142800,,148500,,148500
Vietnam,,,12716,,12958,,20296,,22524,,22636,,21451,,26235,,30192,,30782,,33930,,34709
Zambia,,,695200,,759800,,708259,,710860,,725359,,797266,,875848,,789942,,868671,,800696,,763550
Zimbabwe,,,6665,,8285,,8261,,8218,,9101,,8839,,9077,,8700,,7933,,8650,,10168
Notes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
#),Break in series,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
a),Years ended 31 March following that stated,,,,,,,,,,,,,,,,,,,,,,
b),Metal content of ore,,,,,,,,,,,,,,,,,,,,,,
