Production of gold,mine,kilograms,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Algeria,,,264,,140,,85,,106,,102,,137,,286,,70,,58,,71,,138
Angola,,,,,,,,,,,,,0,,0,,23,,59,,35,,80
Argentina,,,54651,,52486,,60170,,60960,,56648,,60956,,58397,,53092,,34936,,37280,*,44500
Armenia,,,1941,,2324,,2814,,2805,*,3730,*,4270,,4908,,5825,,5900,,3400,*,4600
Australia,,,250441,,267062,,271856,,277372,,290767,,292022,,313028,,326304,,327952,,307577,,306320
Azerbaijan,,,1562,,1621,,1872,,2229,,1895,,3667,,3476,,3712,,3571,,3427,,3316
Benin,,,,*,30,*,30,*,6,*,7,*,5,*,5,*,5,*,5,*,5,*,5
Bolivia,,,12000,,13459,,34830,,22208,,21876,,28726,,31599,,42040,,23207,,45662,,53374
Botswana,,,1522,,1206,,958,,757,,833,,913,,1105,,942,,851,,650,,426
Brazil,,,66773,,79563,,81038,,83124,,93921,,80000,,85000,,75000,,82000,*,90000,*,83000
Bulgaria,,,7058,,7385,,7899,,7914,,7918,,8682,,6465,,7413,,9590,,9966,,11183
Burkina Faso,,,29877,,32994,,36320,,36540,,38520,,46436,(v),52898,(v),51500,(v),62470,(v),66931,(x),60000
Burundi,,,2147,,2823,,650,,549,,396,,1742,,1898,,1599,,863,,893,*,900
Cambodia,,,,,,,,,,,,,,,,,,,0,,1465,,3312
Cameroon,,*,1000,*,1000,*,1000,,795,,542,,713,,478,,341,*,450,*,450,*,175
Canada,,,107486,,133636,,152460,,162504,,163888,,171111,,194155,,182783,,182352,,222524,,192012
Central African Republic,,,,*,55,,7,,15,,33,,118,,142,,359,,401,,858,,1507
Chad,,,,,,*,10,*,10,,,,,,,,,,,,,,
Chile,,,49936,,51309,,46031,,42501,,46333,,37911,,37066,,38455,,33895,,34248,,30966
China,,(d),403050,(d),428163,(d),451799,(d),450053,(d),453490,(d),426142,(d),401119,(d),380230,(d),365340,(d),329000,(d),372048
Colombia,,,66222,,55968,,57896,,59638,(v),63157,(v),43158,(v),35965,(v),38006,(v),48561,(v),55321,(v),42142
Congo,,*,150,*,150,*,150,*,150,*,150,*,150,*,150,*,150,*,150,*,150,*,150
"Congo, Democratic Republic",,*,17000,*,17000,*,36600,*,38000,*,37100,*,37100,*,43800,*,43000,*,40000,*,42000,*,38000
Costa Rica,,,0,*,1500,,1350,,950,,750,,4255,,3699,,4500,,599,,647,,864
Cyprus,,,,,0,,0,,0,,0,,48,,47,,33,,61,,0,,0
Dominican Republic,,,4106,,26084,,36085,,31134,,37932,,35242,,31633,,31801,,28117,,25287,,22177
Ecuador,,,5139,,8676,,7322,,7723,,6761,,6368,,8212,,6293,,9086,,12614,,15111
Egypt,,,8175,,11102,,11734,,13657,,17139,,16941,,14694,,14946,,14069,,12919,,13716
Equatorial Guinea,,*,200,*,200,*,200,*,200,*,200,*,200,*,200,*,200,*,200,*,200,*,200
Eritrea,,,9735,,2862,,840,,753,*,1400,*,2700,,3768,,2443,,3019,*,2200,*,3300
Eswatini (Swaziland),,,,,,,0,,0,,0,,0,,12,,6,,1,,0,,0
Ethiopia,,(b),12581,(b),13050,(b),10340,(b),9370,(b),8573,(b)(e),4704,(b)(e),2570,(b)(e),3180,(b)(e),3320,(b)(e),9190,(b)(e),8680
Fiji,,,1439,,1218,,1188,,1368,,1500,,1425,,1281,,1106,,1090,,1107,,584
Finland,,,9100,,8660,,8085,,8342,,8865,,9102,,8732,,7927,,8668,,9082,,8390
France (French Guiana),,,1147,*,6220,*,6830,*,6460,*,6100,*,8000,*,10000,*,10000,*,10000,*,11000,*,10000
Gabon,,,684,,1201,*,1078,*,1356,*,1070,,600,,83,,107,,371,,967,,1063
Georgia,,*,3100,*,4300,*,2300,*,3100,*,3600,,3032,,4299,,4052,,5401,,3513,,4908
Germany,,,,,,,,,0,,0,,0,,9,*,10,*,10,,12,,14
Ghana,,*,128600,,137820,,137861,,112402,,114488,,133303,,149216,,143940,,125884,,88013,,108115
Greece,,,26,,822,,552,,510,,86,,1571,,2839,,2333,,3440,,3313,,3561
Greenland,,,307,,25,,,,,,,,,,,,,,,,,,
Guatemala,,,6473,,6386,,6142,,5610,,3910,,1647,,100,,100,,0,,100,,0
Guinea,,(x),16154,,18322,,23465,,21464,,29192,,46847,*,25086,,27552,,91802,,100958,,84713
Guyana,,,13643,,14963,,12053,,14029,,22167,,20334,,19069,,19963,,18209,,15522,,15129
Honduras,,,1859,,1985,,2839,,2736,,2607,,2596,,2148,,1760,,1790,,2574,,1911
India,,(a),1588,(a),1564,(a),1441,(a),1323,(a),1595,(a),1651,(a),1664,(a),1724,(a),1127,(a),1100,(a),1155
Indonesia,,,69291,,59804,,69023,,92171,,80868,,99030,,111858,,108690,,65890,,78996,,85203
Iran,,(w),1179,(w),1656,(w),1760,(w),2358,(w),4537,(w),7100,(w)*,7600,(w)*,8140,(w)*,6919,(w)*,7000,(w)*,7000
Ivory Coast,,*,13000,*,14700,*,19000,*,23200,*,25100,,25395,,24488,,32568,,38523,,39779,,47600
Japan,,,7232,,7411,,7114,,7699,,6455,,6369,,6453,,6312,,7590,,6225,,4886
Kazakhstan,,,40006,,42552,,50339,,63614,,74737,,85339,,100299,,106559,,116964,,114843,,129583
Kenya,,,3600,,2100,,200,,300,,200,,503,*#,5472,*,5395,*,5150,*,5292,*,5564
Korea (Rep. of),,,336,,413,,284,,258,,205,,283,,239,,181,,189,,162,,76
"Korea, Dem. P.R. of",,,,,,*#,10000,*,10000,*,10000,*,10000,*,10000,*,10000,*,10000,*,10000,*,10000
Kyrgyzstan,,,10600,,19400,,18000,,17600,,19700,,20500,,19000,,21200,,19300,,20200,,32000
Laos,,,6415,,6838,,5265,,6893,,6729,,5988,,5579,,5207,,3484,,3940,,4023
Liberia,,,641,,587,,620,,828,,4704,,6071,,7289,,5068,,4396,,7860,,11718
Madagascar,,(x)*,157,(x)*,100,*,100,*,300,,586,,2833,(e),3000,(e),2100,(e),1500,(e),0,(e),0
Malaysia,,,4625,,3823,,4308,,4732,,2249,,2124,,2978,,3151,,1716,,1782,,1828
Mali,,*,46900,*,46000,*,45400,*,46500,*,48200,*,51500,*,61000,*,63000,*,65000,*,69400,*,72200
Mauritania,,,7647,,9518,,9625,,8802,,7126,,9096,,9235,,13554,,14125,,6302,,17539
Mexico,,,102802,,119774,,117771,,134759,,132413,,126820,,141143,,133893,,142787,,133340,,147700
Mongolia,,,5995,,8904,,19959,,20828,,9331,,19849,,20700,,16200,,20200,,19100,,19400
Morocco,,(d),532,(d),463,(d),377,(d),448,(d),352,(d),220,(d),386,(d),221,(d),143,(d),147,(d),167
Mozambique,,,178,,91,,197,,242,,201,,166,,507,,430,,488,,764,,1264
Myanmar,,(a)#,787,(a),893,(a),1312,(a),1692,(a),1446,(a),1446,(a),1620,(a),229,(a),716,(a),846,(a)*,500
Namibia,,,2329,,2038,,4553,,6285,,6756,,7469,,6632,,6526,,6254,,7103,,6992
New Zealand,,,10049,,12468,,11989,,12687,,9866,,10288,,10045,,8217,,5860,,5815,,6674
Nicaragua,,,6981,,8611,,8237,,7612,,8391,,7367,,7703,,9190,,7935,,10840,,11460
Niger,,,1677,,1041,,732,,1220,,999,,914,,6207,,5224,,2361,,4010,,2601
Nigeria,,,4303,,6261,*,6300,(e)*#,15000,(e)*,21000,(e)*,19000,(e)*,18000,(e)*,9000,(e)*,5000,(e)*,3000,(e)*,12000
North Macedonia,,,0,,490,,480,,494,,664,,972,,767,,593,,448,*,500,*,600
Oman,,,,,,,,,,,,,3,,,,,,,,,,
Panama,,,2208,,1120,*,100,*,100,*,100,*,100,*,100,,1969,,2733,,4505,,4447
Papua New Guinea,,,57021,,61878,,56148,,57640,,61952,,65246,,67562,,74386,,48679,,35584,,42310
Peru,,,161545,,151486,,140090,,146823,,153006,,151964,,140211,,128413,,88053,,96586,,96700
Philippines,,,15762,,17248,,18423,,21314,,23053,,22749,,20765,,20646,,17564,,25333,,29007
Poland,,,469,,431,,226,,431,,402,,572,,523,,674,,878,,768,,769
Romania,,*,500,*,500,*,500,*,500,*,500,,961,*,500,*,500,*,500,*,500,*,500
Russia,,,200345,,214700,,249100,,256500,,253200,,270300,,279900,,305100,,308600,,313830,*,320000
Rwanda,,,0,,0,,319,(e)*,2000,(e)*,4900,(e)*,8800,(e)*,18100,(e)*,11400,(e),11532,(e),6341,(e),9470
Saudi Arabia,,,4285,,4158,,4789,,5089,,7010,,10333,,11831,,12258,,12715,,9639,,13375
Senegal,,,6666,,6445,,6588,(x),7800,(x),9700,(x),11700,(x),14900,(x),16100,(x),14600,(x),18800,(x),16200
Serbia,,(d),900,(d),1154,(d),1310,(d),1186,(d),805,(d),1199,(d),839,(d),1452,(d),1550,(d),4796,(d),7290
Sierra Leone,,,141,,96,,43,,106,,188,,142,,464,,75,,14,,117,,150
Slovakia,,,546,,533,,582,,603,,466,,447,,515,,346,,336,,392,,399
Solomon Islands,,,2109,,1826,,603,,,,,,,,,,,,,,,,
South Africa,,,154180,,159724,,151622,,144515,,142077,,136833,,117150,,105185,,95786,,105019,,88883
South Sudan,,,,*,200,*,200,*,200,*,200,*,200,*,200,*,200,*,200,*,200,*,200
Spain,,,1529,,2052,,1958,,2128,,1291,,1605,,1991,,1913,,1602,,1400,,1359
Sudan,,,44500,,70000,,73300,,82400,,93400,,107300,,93600,,55400,,35700,,49700,,41800
Suriname,,,12507,,11001,,10641,,9396,,12926,,25844,,26002,,24516,,21959,,19439,,20373
Sweden,,,6015,,6530,,6849,,6028,,6463,,7858,,7866,,7972,,8249,,8805,,8054
Taiwan,,,,,4,,5,,2,,0,,4,,4,,6,,3,,1,,1
Tajikistan,,,2400,,2670,,3436,*,4400,*,5000,*,5500,,6432,,8100,,8764,*,8400,*,9300
Tanzania,,,39012,,42534,,40481,,43293,,45155,,43489,,39304,,48408,,55508,,59638,,56943
Thailand,,,4895,,4419,,4576,,3305,,4250,,0,,,,,,,,,,
Togo,,(e),18551,(e),21086,(e),20583,(e),15568,(e)*,14000,(e)*,20000,(e)*,10000,(e),8227,(e),3565,(e)*,3600,(e)*,3600
Turkey,,,29390,,33980,,31260,,27800,,24030,,23090,,28000,,38000,,42100,,39290,,31020
USA,,,234623,,229703,,210077,,213826,,232230,,236986,,225528,,200370,,193000,,187000,,173000
Uganda,,,,,5,,24,,13,,11,,4,,12,,10,*,7,*,7,*,7
United Kingdom,,,102,,42,,0,,0,(n),6,,0,,0,*,50,,28,,79,,266
Uruguay,,(m),1881,(m),2092,(m),1715,(m),1480,(m),993,(m),1062,(m),465,,0,,0,,0,,0
Uzbekistan,,*,90000,*,90000,*,1e+05,*,88000,*,89000,,89900,,92716,*,93000,*,1e+05,,100360,,105000
Venezuela,,,1982,,1679,*,5000,*,5000,*,5000,*,16770,,10785,*,9100,*,30000,*,30000,*,30000
Vietnam,,,1508,,1681,#,728,,579,,584,,557,,570,,540,,559,,664,,1114
Zambia,,(c),4232,(c),5207,(c),4803,(c),4238,(c),4610,(c),4373,(c),4044,(c),4522,(c),3994,(c),3987,(c),3108
Zimbabwe,,,14743,,14001,,15386,,20023,,22747,,23929,,35054,,29429,,20873,,31477,,37225
Notes,,,,,,,,,,,,,,,,,,,,,,,
Table notes,,,,,,,,,,,,,,,,,,,,,,,
1:,In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table,,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
1:,In several countries substantial amounts of gold produced in small and/or artisanal operations are not recorded in the official statistics. Estimates have been added where possible but these have varying degrees of uncertainty.,,,,,,,,,,,,,,,,,,,(2013 Onwards),,,
2:,"In addition to the countries listed, Bulgaria, Cameroon, former Czechoslovakia, Greece, Morocco, Norway and Thailand are believed to produce gold",,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
2:,"In addition to the countries listed, Eritrea, Laos and Madagascar produce less than 100 kg gold per year according to official statistics",,,,,,,,,,,,,,,,,,,(1993 Onwards),,,
2:,"In addition to the countries listed, Laos and Madagascar produce less than 100 kg gold per year according to official statistics",,,,,,,,,,,,,,,,,,,(1994 Onwards),,,
2:,"In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year",,,,,,,,,,,,,,,,,,,(1995 Onwards),,,
2:,"In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Mozambique, Niger, Nigeria, Rwanda and Sierra Leone produce less than 100 kg gold per year",,,,,,,,,,,,,,,,,,,(1996 Onwards),,,
2:,"In addition to the countries listed, Botswana, Central African Republic, Gabon, Laos, Madagascar, Mozambique, Niger, Nigeria, Rwanda, Sierra Leone and Taiwan produce less than 100 kg gold per year",,,,,,,,,,,,,,,,,,,(1997 Onwards),,,
2:,"In addition to the countries listed, Botswana, Central African Republic, Gabon, Republic of Korea, Laos, Madagascar, Mozambique, Niger, Nigeria, Rwanda, Sierra Leone and Taiwan produce less than 100 kg gold per year",,,,,,,,,,,,,,,,,,,(1998 Onwards),,,
2:,"In addition to the countries listed, Botswana, Central African Republic, Gabon, Republic of Korea, Laos, Liberia, Madagascar, Mozambique, Niger, Nigeria, Rwanda, Sierra Leone and Taiwan produce less than 100 kg gold per year",,,,,,,,,,,,,,,,,,,(1999 Onwards),,,
2:,"In addition to the countries listed, Central African Republic,",,,,,,,,,,,,,,,,,,,(2000 Onwards),,,
2:,"In addition to the countries listed, Central African Republic, Liberia, Mozambique, Nigeria, Sierra Leone, Solomon Islands, Taiwan and Ukraine produce less than 100 kg gold per year",,,,,,,,,,,,,,,,,,,(2001 Onwards),,,
2:,"In addition to the countries listed, Central African Republic, Eritrea, Liberia, Mozambique, Nigeria, Sierra Leone, Solomon Islands, Taiwan and Ukraine produce less than 100 kg gold per year",,,,,,,,,,,,,,,,,,,(2002 Onwards),,,
2:,"In addition to the countries listed, Central African Republic, Eritrea, Liberia, Mozambique, Nigeria, Sierra Leone, Taiwan and Ukraine produce less than 100 kg gold per year",,,,,,,,,,,,,,,,,,,(2004 Onwards),,,
2:,"In addition to the countries listed, Benin, Central African Republic, Congo, Eritrea, Madagascar, Rwanda, Taiwan and Ukraine produce less than 100 kg gold per year",,,,,,,,,,,,,,,,,,,(2005 Onwards),,,
2:,"In addition to the countries listed, Benin, Central African Republic, Congo, Madagascar and Rwanda produce less than 100 kg gold per year",,,,,,,,,,,,,,,,,,,(2007 Onwards),,,
2:,"In addition to the countries listed, Greece, Benin, Central African Republic, Congo Rwanda and Taiwan produce less than 100 kg gold per year",,,,,,,,,,,,,,,,,,,(2008 Onwards),,,
2:,"In addition to the countries listed, Benin, Central African Republic, Congo, Uganda, Oman and Taiwan produce less than 100 kg gold per year",,,,,,,,,,,,,,,,,,,(2009 Onwards),,,
2:,"In addition to the countries listed, Benin, Central African Republic, Equatorial Guinea, Uganda, Oman and Taiwan produce less than 100 kg gold per year",,,,,,,,,,,,,,,,,,,(2012 Onwards),,,
3:,"Greece, Morocco, Norway and Thailand are believed to produce gold",,,,,,,,,,,,,,,,,,,(1993 Onwards),,,
3:,"Greece, Norway and Thailand are believed to produce gold",,,,,,,,,,,,,,,,,,,(1994 Onwards),,,
3:,Greece and Norway are believed to produce gold,,,,,,,,,,,,,,,,,,,(2000 Onwards),,,
3:,"In addition to the countries listed, Cambodia, El Salvador, Haiti, Macedonia, Malawi, Pakistan, Paraguay, Portugal, and South Sudan may produce gold.",,,,,,,,,,,,,,,,,,,(2010 Onwards),,,
3:,"In addition to the countries listed, Cambodia, El Salvador, Haiti, Macedonia, Malawi, Pakistan, Paraguay and Portugal may produce gold.",,,,,,,,,,,,,,,,,,,(2013 Onwards),,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
#),Break in series,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
a),Years ended 31 March following that stated,,,,,,,,,,,,,,,,,,,,,,
b),Years ended 7 July of that stated,,,,,,,,,,,,,,,,,,,,,,
c),"Contained in blister copper, refinery muds and electrolytic copper",,,,,,,,,,,,,,,,,,,,,,
d),Metal production,,,,,,,,,,,,,,,,,,,,,,
e),Exports,,,,,,,,,,,,,,,,,,,,,,
m),Year ended 30 November of the year stated,,,,,,,,,,,,,,,,,,,,,,
n),Sales,,,,,,,,,,,,,,,,,,,,,,
v),In addition some gold produced by artisanal mining,,,,,,,,,,,,,,,,,,,,,,
w),Years ended 20 March following that stated,,,,,,,,,,,,,,,,,,,,,,
x),Includes an estimate for artisanal mining,,,,,,,,,,,,,,,,,,,,,,
