Production of titanium minerals,tonnes (metric),...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Australia,Ilmenite,(c),1331400,(c),1313800,(c),1138000,(c),1146935,(c),765399,(c),693763,(c),569472,(c),596288,(c),634165,(c),519875,(c)*,5e+05
Australia,Leucoxene,(c),228000,(c),225500,(c),241000,(c),246000,(c),73380,(c),57148,(c),69183,(c),46743,(c),79058,(c),31754,(c),38453
Australia,Rutile,(c),439600,(c),250400,(c),340700,(c),294600,(c),284772,(c),227462,(c),209762,(c),154507,(c),156389,(c),138906,(c),99995
Brazil,Ilmenite,,69071,,78264,,81278,(e)#,80975,(e),66500,(e),50000,(e),76039,(e),90070,(e),61848,(e),132998,(e),17369
Brazil,Rutile,,1881,,2021,,1834,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,
Canada,Ilmenite,(a)(b)*,2700000,(a)(b)*,2800000,(a)(b)*,2500000,(a)(b)*,1900000,(a)(b)*,1800000,(a)(b)*,2300000,(a)(b)*,2e+06,(a)(b)*,2100000,(a)(b)*,1900000,(a)(b)*,1700000,(a)(b)*,2100000
China,Ilmenite,*,1340000,*,1420000,#,4240000,,3910000,,3800000,,3830000,,4200000,,4600000,*,5100000,*,5100000,*,5100000
Gambia,Ilmenite,,,,,,,,,,,,3975,*,1000,*,9000,*,6000,*,14000,*,12000
India,Ilmenite,(d),738524,(d),721959,(d),643128,(d),626135,(d),594978,(d),284667,(d),265931,(d)*,265000,(d)*,265000,(d)*,265000,(d)*,265000
India,Rutile,(d),16527,(d),13459,(d),15617,(d),16723,(d),14898,(d),11829,(d),11045,(d)*,11000,(d)*,11000,(d)*,11000,(d)*,11000
Kazakhstan,,*,17000,*,17000,*,17000,*,17000,*,17000,*,9400,*,10000,*,10000,*,8000,*,10000,*,16000
Kenya,Ilmenite,,0,,0,,281543,,444999,,359885,,491000,,463000,,352000,,334900,,345000,,188000
Kenya,Rutile,,0,,0,,52465,,78947,,69975,,87167,,98132,,85796,,72836,,69844,,163242
Korea (Rep. of),Ilmenite,,201976,,229723,,240892,,204082,,166900,,223039,,213184,,295987,,287895,,322581,,137976
Madagascar,Ilmenite,,562000,,562000,,333736,,166290,,267962,,430479,,381924,,448185,,499768,(i),582000,(i),545000
Madagascar,Rutile,*,11000,*,12000,*,6900,*,4800,*,5400,,8100,,5070,,5947,*,6000,*,6000,*,6000
Malaysia,Ilmenite,,22275,,16043,,8159,,5814,,4316,,6363,,14158,,2334,,2548,,4598,,24076
Malaysia,Rutile,,20008,,5983,,3069,,198,,3810,,5266,,5070,,5947,,5136,,11513,,8359
Mozambique,Ilmenite,,574500,,720100,,854600,,763500,,903300,,998200,,958500,,892900,,756000,,1119400,,1088334
Mozambique,Rutile,,5100,,4000,,6100,,6000,,7800,,9133,,8154,,8278,,5957,,8914,,8870
Norway,Ilmenite,,830614,,826126,,863660,,630323,*,630000,*,630000,*,630000,*,630000,,522221,,671833,,615995
Russia,Ilmenite,,125095,,150458,,178426,,193236,,60000,,0,,0,,0,,0,,1961,,1532
Saudi Arabia,Ilmenite,,,,,,,,,,,,,*,500,*,100,*,2800,*,3700,*,9700
Senegal,Ilmenite,,0,,0,,100590,,427690,,416249,,492441,,506938,,491602,,505000,,723600,,742000
Senegal,Leucoxene,(m),0,(m),0,(m),663,(m),5311,(m),9664,(m),9975,(m),9605,(m),10130,(m),9500,(m),16400,(m),10487
Sierra Leone,Ilmenite,,21400,,32350,,35839,,48420,,28102,,57040,,49510,,63350,,50963,,53802,,58610
Sierra Leone,Rutile,,94490,,120350,,115078,,126021,,148541,,165470,,108320,,136790,,116569,,131311,,135818
South Africa,Ilmenite,(b)*,1203000,(b)*,1070000,(b)*,1105000,(b)*,1280000,(b)*,1020000,(b)*,550000,(b),765000,(b),1100000,(b),1020000,(b),1e+06,(b),9e+05
South Africa,Rutile,*,141000,*,73400,*,133000,*,67000,*,67000,,95000,,103000,,110000,,86000,,95000,*,95000
Sri Lanka,Ilmenite,,44707,,42685,,32972,,39439,,26159,,53734,,60847,,43789,,18016,,49068,,31492
Sri Lanka,Rutile,,1590,,1406,,2111,,1808,,2237,,2174,,2174,,1959,,1311,,1881,,741
Thailand,Ilmenite,,,,,,,,0,,0,,8,,41,,5095,,153,,66,,2
Turkey,Rutile,,,,,,,,,,,,,,6498,,6450,,6795,,7451,,7226
USA,,,2e+05,,2e+05,,1e+05,,3e+05,,1e+05,,1e+05,,1e+05,,1e+05,*,1e+05,*,1e+05,*,2e+05
Ukraine,Ilmenite,,246800,*,670000,*,450000,*,5e+05,*,5e+05,*,5e+05,,745417,,818543,,773093,,702249,*,350000
Ukraine,Rutile,*,58000,*,162000,*,110000,*,90000,*,90000,*,90000,,106858,*,115500,*,110500,*,97500,*,50000
Vietnam,Ilmenite,,978300,,1025800,,558000,,237700,,210800,,225300,,235126,,216700,,268800,,3e+05,,331500
Notes,,,,,,,,,,,,,,,,,,,,,,,
Table notes,,,,,,,,,,,,,,,,,,,,,,,
1:,The figures in this table refer to gross tonnage of titanium concentrates,,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
2:,"Some ilmenite is converted to synthetic rutile in Australia, India, Japan, Taiwan and USA",,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
2:,"Some ilmenite is converted to synthetic rutile in Australia, India, Japan and USA",,,,,,,,,,,,,,,,,,,(2010 Onwards),,,
3:,In 1995 South Africa produced 988 000 tonnes of slag (85% TiO2) and Canada produced 816 000 tonnes of slag (80% TiO2),,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
3:,In 2008 South Africa produced an estimated 1 200 000 tonnes of slag (85% TiO2) and Canada produced an estimated 1 110 000 tonnes of slg (80-95% TiO2),,,,,,,,,,,,,,,,,,,(2004 Onwards),,,
3:,In 2009 South Africa produced an estimated 1 850 000 tonnes of slag (85% TiO2) and Canada produced an estimated 800 000 tonnes of slag (80-95% TiO2),,,,,,,,,,,,,,,,,,,(2005 Onwards),,,
3:,In 2010 South Africa produced an estimated xxxxx tonnes of slag (85% TiO2) and Canada produced an estimated xxxxx tonnes of slag (80-95% TiO2),,,,,,,,,,,,,,,,,,,(2006 Onwards),,,
4:,In 1992 Canada produced 753 000 tonnes of slag (80% TiO2),,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
#),Break in series,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
a),"Canada produces some ilmenite which is sold as such and not processed into slag, but tonnages are small",,,,,,,,,,,,,,,,,,,,,,
b),It is believed that the majority of this is processed into slag.,,,,,,,,,,,,,,,,,,,,,,
c),Years ended 30 June of that stated,,,,,,,,,,,,,,,,,,,,,,
d),Years ended 31 March following that stated,,,,,,,,,,,,,,,,,,,,,,
e),Including synthetic rutile,,,,,,,,,,,,,,,,,,,,,,
i),Exports,,,,,,,,,,,,,,,,,,,,,,
m),Including natural rutile,,,,,,,,,,,,,,,,,,,,,,
v),BGS estimates.,,,,,,,,,,,,,,,,,,,,,,
